name,birth,death,link,location
Rabbeinu Chananel,993,1040,https://en.wikipedia.org/wiki/Chananel_ben_Chushiel,Sephardi
Rabbi Amnon of Mayence,940,1040,https://en.wikipedia.org/wiki/Amnon_of_Mainz,Ashkenazi
Rif,1013,1103,https://en.wikipedia.org/wiki/Isaac_Alfasi,Sephardi
Baal HaAruch,1035,1106,https://en.wikipedia.org/wiki/Nathan_ben_Jehiel,Ashkenazi
Solomon Ibn Gabirol,1021,1058,https://en.wikipedia.org/wiki/Solomon_ibn_Gabirol,Sephardi
Rabbi Yitzchok Ibn Gayyat,1030,1089,https://en.wikipedia.org/wiki/Isaac_ibn_Ghiyyat,Sephardi
Rabbi Yitzchak Ben Baruch Albalia,1035,1094,https://en.wikipedia.org/wiki/Isaac_Albalia,Sephardi
Rashi,1040,1105,https://en.wikipedia.org/wiki/Rashi,Ashkenazi
Ri Migash,1077,1141,https://en.wikipedia.org/wiki/Joseph_ibn_Migash,Sephardi
Rabbi Judah Halevi,1080,1141,"https://en.wikipedia.org/wiki/Judah_Halevi#:~:text=1075%20%E2%80%93%201141)%20was%20a%20Spanish,the%20Crusader%20Kingdom%20of%20Jerusalem.&text=Statue%20in%20Caesarea%2C%20Israel.",Sephardi
Rashbam,1085,1176,https://en.wikipedia.org/wiki/Rashbam,Ashkenazi
Ibn Ezra,1092,1167,https://en.wikipedia.org/wiki/Abraham_ibn_Ezra,Sephardi
Rabbeinu Tam,1100,1171,https://en.wikipedia.org/wiki/Rabbeinu_Tam,Ashkenazi
Ri HaZakein,1100,1178,https://en.wikipedia.org/wiki/Isaac_ben_Samuel,Ashkenazi
Ra'avad I,1110,1180,https://en.wikipedia.org/wiki/Abraham_ibn_Daud,Sephardi
Ra'avad II,1080,1158,https://en.wikipedia.org/wiki/Abraham_ben_Isaac_of_Narbonne,Ashkenazi
Ba'al ha-Ittur,1122,1193,https://en.wikipedia.org/wiki/Isaac_ben_Abba_Mari,Ashkenazi
Raavad III (Baal HaSagos),1125,1198,https://en.wikipedia.org/wiki/Abraham_ben_David,Ashkenazi
Baal HaMaor,1125,1186,https://en.wikipedia.org/wiki/Zerachiah_ha-Levi_of_Girona,Sephardi
Rambam,1135,1204,https://en.wikipedia.org/wiki/Maimonides,Sephardi
Sefer HaTerumah,1140,1211,https://en.wikipedia.org/wiki/Baruch_ben_Isaac,Ashkenazi
Rabbi Judah HaChassid,1150,1217,https://en.wikipedia.org/wiki/Judah_ben_Samuel_of_Regensburg,Ashkenazi
Radak,1160,1235,https://en.wikipedia.org/wiki/David_Kimhi,Ashkenazi
Rokeyach,1160,1238,https://en.wikipedia.org/wiki/Eleazar_of_Worms,Ashkenazi
Rabbi Judah Ben Solomon Al-Harizi,1160,1230,https://en.wikipedia.org/wiki/Yehuda_Alharizi,Sephardi
Rabbi Elozor ben Yehuda of Worms,1160,1238,https://en.wikipedia.org/wiki/Eleazar_of_Worms,Ashkenazi
Ramah,1170,1244,https://en.wikipedia.org/wiki/Meir_Abulafia,Sephardi
Rabbeinu Avraham ben ha-Rambam,1185,1255,https://en.wikipedia.org/wiki/Abraham_Maimonides,Sephardi
Ramban,1195,1270,https://en.wikipedia.org/wiki/Nachmanides,Sephardi
Mordechai,1250,1298,https://en.wikipedia.org/wiki/Mordechai_ben_Hillel,Ashkenazi
Maharam of Rothenburg,1220,1293,https://en.wikipedia.org/wiki/Meir_of_Rothenburg,Ashkenazi
Smag,1200,1260,"https://en.wikipedia.org/wiki/Moses_ben_Jacob_of_Coucy#:~:text=Rabbi%20Moses%20ben%20Jacob%20of,Halakha%2C%20the%20Sefer%20Mitzvot%20Gadol.",Ashkenazi
Or Zeruah,1200,1260,https://en.wikipedia.org/wiki/Isaac_ben_Moses_of_Vienna,Ashkenazi
Rabbeinu Yona,1200,1263,https://en.wikipedia.org/wiki/Yonah_Gerondi,Sephardi
Ra'aH,1215,1293,https://en.wikipedia.org/wiki/Aharon_HaLevi,Sephardi
Rashbah,1235,1310,https://en.wikipedia.org/wiki/Shlomo_ibn_Aderet,Sephardi
Rabbeinu Bechayah,1240,1310,https://en.wikipedia.org/wiki/Bahya_ben_Asher,Sephardi
Ritvah,1240,1320,https://en.wikipedia.org/wiki/Yom_Tov_of_Seville,Sephardi
Meiri,1249,1315,https://en.wikipedia.org/wiki/Menachem_Meiri,Sephardi
Rosh,1250,1327,https://en.wikipedia.org/wiki/Asher_ben_Jehiel,Sephardi
Abudraham,1260,1340,https://en.wikipedia.org/wiki/David_Abudarham,Sephardi
The Tur,1269,1340,https://en.wikipedia.org/wiki/Jacob_ben_Asher,Sephardi
Rabbeinu Yerucham,1270,1345,https://en.wikipedia.org/wiki/Rabbenu_Yerucham,Ashkenazi
Ralbag,1288,1344,https://en.wikipedia.org/wiki/Gersonides,Ashkenazi
Ran,1290,1376,https://en.wikipedia.org/wiki/Nissim_of_Gerona,Sephardi
Rabbi Joseph Caspi,1297,1340,https://en.wikipedia.org/wiki/Joseph_Ibn_Kaspi,Ashkenazi
Magid Mishneh,1300,1370,https://en.wikipedia.org/wiki/Vidal_of_Tolosa,Sephardi
Rivash,1326,1408,https://en.wikipedia.org/wiki/Isaac_ben_Sheshet,Sephardi
Rabbi Hasdai Crescas,1340,1410,https://en.wikipedia.org/wiki/Hasdai_Crescas,Sephardi
Nemuki Yosef,1340,1400,https://en.wikipedia.org/wiki/Joseph_ibn_Habib,Sephardi
Maharil,1360,1427,https://en.wikipedia.org/wiki/Yaakov_ben_Moshe_Levi_Moelin,Ashkenazi
Sefer Ha-Ikkarim,1380,1444,https://en.wikipedia.org/wiki/Joseph_Albo,Sephardi
Terumos HaDeshen,1390,1460,https://en.wikipedia.org/wiki/Israel_Isserlein,Ashkenazi